ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,Class/SourceLine/0/_start,Class/SourceLine/0/_end,Class/SourceLine/0/_synthetic,SourceLine/0/_synthetic,String/1/Message,String/1/_value,String/2/Message,String/2/_value,String/3/Message,String/3/_value,String/4/Message,String/4/_value,Method/SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,153,206,0,574,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.sendData(ByteBuffer),streamer.SyncLink,sendData,(Lstreamer/ByteBuffer;)V,false,true,At SyncLink.java:[line 178],streamer.SyncLink,true,178,178,212,212,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 178],streamer.SyncLink,178,178,209,209,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4b17c0790e1185999e55631c586b86f8,1,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,153,206,0,574,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.sendData(ByteBuffer),streamer.SyncLink,sendData,(Lstreamer/ByteBuffer;)V,false,true,At SyncLink.java:[line 186],streamer.SyncLink,true,186,186,295,295,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 186],streamer.SyncLink,186,186,292,292,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4b17c0790e1185999e55631c586b86f8,2,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,212,248,0,313,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,"In method streamer.SyncLink.sendEvent(Event, Direction)",streamer.SyncLink,sendEvent,(Lstreamer/Event;Lstreamer/Direction;)V,false,true,At SyncLink.java:[line 213],streamer.SyncLink,true,213,213,43,43,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 213],streamer.SyncLink,213,213,40,40,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28e9b52565b60b21b533b26eeda89076,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,403,407,0,105,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.setPullMode(),streamer.SyncLink,setPullMode,()V,false,true,At SyncLink.java:[line 404],streamer.SyncLink,true,404,404,34,34,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 404],streamer.SyncLink,404,404,31,31,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,13f16f27d5c4921a47d67d56cfcda053,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AprSocketSink.java,streamer.apr.AprSocketSink,AprSocketSink.java,streamer/apr/AprSocketSink.java,java/streamer/apr/AprSocketSink.java,In class streamer.apr.AprSocketSink,streamer.apr.AprSocketSink,true,streamer.apr.AprSocketSink,113,126,0,216,AprSocketSink.java,streamer/apr/AprSocketSink.java,java/streamer/apr/AprSocketSink.java,In method streamer.apr.AprSocketSink.closeStream(),streamer.apr.AprSocketSink,closeStream,()V,false,true,At AprSocketSink.java:[line 122],streamer.apr.AprSocketSink,true,122,122,87,87,AprSocketSink.java,streamer/apr/AprSocketSink.java,java/streamer/apr/AprSocketSink.java,At AprSocketSink.java:[line 123],streamer.apr.AprSocketSink,123,123,84,84,AprSocketSink.java,streamer/apr/AprSocketSink.java,java/streamer/apr/AprSocketSink.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a7fe6bb4844c725ff5f30240034ca844,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AprSocketSource.java,streamer.apr.AprSocketSource,AprSocketSource.java,streamer/apr/AprSocketSource.java,java/streamer/apr/AprSocketSource.java,In class streamer.apr.AprSocketSource,streamer.apr.AprSocketSource,true,streamer.apr.AprSocketSource,158,171,0,216,AprSocketSource.java,streamer/apr/AprSocketSource.java,java/streamer/apr/AprSocketSource.java,In method streamer.apr.AprSocketSource.closeStream(),streamer.apr.AprSocketSource,closeStream,()V,false,true,At AprSocketSource.java:[line 167],streamer.apr.AprSocketSource,true,167,167,87,87,AprSocketSource.java,streamer/apr/AprSocketSource.java,java/streamer/apr/AprSocketSource.java,At AprSocketSource.java:[line 168],streamer.apr.AprSocketSource,168,168,84,84,AprSocketSource.java,streamer/apr/AprSocketSource.java,java/streamer/apr/AprSocketSource.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f701f2079d3cd509b8307df58ec8fc51,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AprSocketWrapperImpl.java,streamer.apr.AprSocketWrapperImpl,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,In class streamer.apr.AprSocketWrapperImpl,streamer.apr.AprSocketWrapperImpl,true,streamer.apr.AprSocketWrapperImpl,220,229,0,148,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,In method streamer.apr.AprSocketWrapperImpl.destroyPull(),streamer.apr.AprSocketWrapperImpl,destroyPull,()V,false,true,At AprSocketWrapperImpl.java:[line 225],streamer.apr.AprSocketWrapperImpl,true,225,225,44,44,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,At AprSocketWrapperImpl.java:[line 226],streamer.apr.AprSocketWrapperImpl,226,226,41,41,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bef117b81c0117f7fcc37a811906c7a3,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AprSocketWrapperImpl.java,streamer.apr.AprSocketWrapperImpl,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,In class streamer.apr.AprSocketWrapperImpl,streamer.apr.AprSocketWrapperImpl,true,streamer.apr.AprSocketWrapperImpl,195,212,0,254,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,In method streamer.apr.AprSocketWrapperImpl.shutdown(),streamer.apr.AprSocketWrapperImpl,shutdown,()V,false,true,At AprSocketWrapperImpl.java:[line 203],streamer.apr.AprSocketWrapperImpl,true,203,203,52,52,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,At AprSocketWrapperImpl.java:[line 204],streamer.apr.AprSocketWrapperImpl,204,204,49,49,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,573b4d279fd0af8b1a5e9c4d7f0b4a66,0,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AprSocketWrapperImpl.java,streamer.apr.AprSocketWrapperImpl,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,In class streamer.apr.AprSocketWrapperImpl,streamer.apr.AprSocketWrapperImpl,true,streamer.apr.AprSocketWrapperImpl,195,212,0,254,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,In method streamer.apr.AprSocketWrapperImpl.shutdown(),streamer.apr.AprSocketWrapperImpl,shutdown,()V,false,true,At AprSocketWrapperImpl.java:[line 209],streamer.apr.AprSocketWrapperImpl,true,209,209,94,94,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,At AprSocketWrapperImpl.java:[line 210],streamer.apr.AprSocketWrapperImpl,210,210,91,91,AprSocketWrapperImpl.java,streamer/apr/AprSocketWrapperImpl.java,java/streamer/apr/AprSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,573b4d279fd0af8b1a5e9c4d7f0b4a66,1,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In BcoSocketWrapperImpl.java,streamer.bco.BcoSocketWrapperImpl,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In class streamer.bco.BcoSocketWrapperImpl,streamer.bco.BcoSocketWrapperImpl,true,streamer.bco.BcoSocketWrapperImpl,99,123,0,412,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In method streamer.bco.BcoSocketWrapperImpl.shutdown(),streamer.bco.BcoSocketWrapperImpl,shutdown,()V,false,true,At BcoSocketWrapperImpl.java:[line 101],streamer.bco.BcoSocketWrapperImpl,true,101,101,39,39,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,At BcoSocketWrapperImpl.java:[line 102],streamer.bco.BcoSocketWrapperImpl,102,102,36,36,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c96e3cfd03bfbfd99586c07bfa094c82,0,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In BcoSocketWrapperImpl.java,streamer.bco.BcoSocketWrapperImpl,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In class streamer.bco.BcoSocketWrapperImpl,streamer.bco.BcoSocketWrapperImpl,true,streamer.bco.BcoSocketWrapperImpl,99,123,0,412,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In method streamer.bco.BcoSocketWrapperImpl.shutdown(),streamer.bco.BcoSocketWrapperImpl,shutdown,()V,false,true,At BcoSocketWrapperImpl.java:[line 107],streamer.bco.BcoSocketWrapperImpl,true,107,107,81,81,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,At BcoSocketWrapperImpl.java:[line 108],streamer.bco.BcoSocketWrapperImpl,108,108,78,78,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c96e3cfd03bfbfd99586c07bfa094c82,1,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In BcoSocketWrapperImpl.java,streamer.bco.BcoSocketWrapperImpl,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In class streamer.bco.BcoSocketWrapperImpl,streamer.bco.BcoSocketWrapperImpl,true,streamer.bco.BcoSocketWrapperImpl,99,123,0,412,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In method streamer.bco.BcoSocketWrapperImpl.shutdown(),streamer.bco.BcoSocketWrapperImpl,shutdown,()V,false,true,At BcoSocketWrapperImpl.java:[line 114],streamer.bco.BcoSocketWrapperImpl,true,114,114,127,127,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,At BcoSocketWrapperImpl.java:[line 115],streamer.bco.BcoSocketWrapperImpl,115,115,124,124,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c96e3cfd03bfbfd99586c07bfa094c82,2,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In BcoSocketWrapperImpl.java,streamer.bco.BcoSocketWrapperImpl,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In class streamer.bco.BcoSocketWrapperImpl,streamer.bco.BcoSocketWrapperImpl,true,streamer.bco.BcoSocketWrapperImpl,99,123,0,412,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,In method streamer.bco.BcoSocketWrapperImpl.shutdown(),streamer.bco.BcoSocketWrapperImpl,shutdown,()V,false,true,At BcoSocketWrapperImpl.java:[line 120],streamer.bco.BcoSocketWrapperImpl,true,120,120,166,166,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,At BcoSocketWrapperImpl.java:[line 121],streamer.bco.BcoSocketWrapperImpl,121,121,163,163,BcoSocketWrapperImpl.java,streamer/bco/BcoSocketWrapperImpl.java,java/streamer/bco/BcoSocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c96e3cfd03bfbfd99586c07bfa094c82,3,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MockServer.java,streamer.debug.MockServer,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,In class streamer.debug.MockServer,streamer.debug.MockServer,true,streamer.debug.MockServer,65,162,0,1857,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,In method streamer.debug.MockServer.run(),streamer.debug.MockServer,run,()V,false,true,At MockServer.java:[line 137],streamer.debug.MockServer,true,137,137,754,754,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,At MockServer.java:[line 138],streamer.debug.MockServer,138,138,751,751,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c4e5a6f958a09dbdd5dda9ae29061c79,0,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MockServer.java,streamer.debug.MockServer,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,In class streamer.debug.MockServer,streamer.debug.MockServer,true,streamer.debug.MockServer,65,162,0,1857,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,In method streamer.debug.MockServer.run(),streamer.debug.MockServer,run,()V,false,true,At MockServer.java:[line 143],streamer.debug.MockServer,true,143,143,793,793,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,At MockServer.java:[line 144],streamer.debug.MockServer,144,144,790,790,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c4e5a6f958a09dbdd5dda9ae29061c79,1,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MockServer.java,streamer.debug.MockServer,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,In class streamer.debug.MockServer,streamer.debug.MockServer,true,streamer.debug.MockServer,65,162,0,1857,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,In method streamer.debug.MockServer.run(),streamer.debug.MockServer,run,()V,false,true,At MockServer.java:[line 149],streamer.debug.MockServer,true,149,149,834,834,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,At MockServer.java:[line 150],streamer.debug.MockServer,150,150,831,831,MockServer.java,streamer/debug/MockServer.java,java/streamer/debug/MockServer.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c4e5a6f958a09dbdd5dda9ae29061c79,2,2,117,,,,,,,,,,,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TrustAllX509TrustManager.java,streamer.ssl.TrustAllX509TrustManager,TrustAllX509TrustManager.java,streamer/ssl/TrustAllX509TrustManager.java,java/streamer/ssl/TrustAllX509TrustManager.java,In class streamer.ssl.TrustAllX509TrustManager,streamer.ssl.TrustAllX509TrustManager,true,streamer.ssl.TrustAllX509TrustManager,34,34,0,62,TrustAllX509TrustManager.java,streamer/ssl/TrustAllX509TrustManager.java,java/streamer/ssl/TrustAllX509TrustManager.java,"In method streamer.ssl.TrustAllX509TrustManager.checkClientTrusted(X509Certificate[], String)",streamer.ssl.TrustAllX509TrustManager,checkClientTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At TrustAllX509TrustManager.java:[line 34],streamer.ssl.TrustAllX509TrustManager,,34,34,0,62,TrustAllX509TrustManager.java,streamer/ssl/TrustAllX509TrustManager.java,java/streamer/ssl/TrustAllX509TrustManager.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,90560809e302679b43c156f284845e13,0,0,295,,,,true,,,,,,,,,true
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TrustAllX509TrustManager.java,streamer.ssl.TrustAllX509TrustManager,TrustAllX509TrustManager.java,streamer/ssl/TrustAllX509TrustManager.java,java/streamer/ssl/TrustAllX509TrustManager.java,In class streamer.ssl.TrustAllX509TrustManager,streamer.ssl.TrustAllX509TrustManager,true,streamer.ssl.TrustAllX509TrustManager,49,49,0,43,TrustAllX509TrustManager.java,streamer/ssl/TrustAllX509TrustManager.java,java/streamer/ssl/TrustAllX509TrustManager.java,In method streamer.ssl.TrustAllX509TrustManager.getAcceptedIssuers(),streamer.ssl.TrustAllX509TrustManager,getAcceptedIssuers,()[Ljava/security/cert/X509Certificate;,false,true,At TrustAllX509TrustManager.java:[line 49],streamer.ssl.TrustAllX509TrustManager,,49,49,0,43,TrustAllX509TrustManager.java,streamer/ssl/TrustAllX509TrustManager.java,java/streamer/ssl/TrustAllX509TrustManager.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,bb48030f796e7219682e77592d2a7a81,0,0,295,,,,true,,,,,,,,,true
Cipher with no integrity,The cipher does not provide data integrity,In Vnc33Authentication.java,vncclient.vnc.Vnc33Authentication,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,In class vncclient.vnc.Vnc33Authentication,vncclient.vnc.Vnc33Authentication,true,vncclient.vnc.Vnc33Authentication,166,190,0,446,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,"In method vncclient.vnc.Vnc33Authentication.encodePassword(ByteBuffer, String)",vncclient.vnc.Vnc33Authentication,encodePassword,(Lstreamer/ByteBuffer;Ljava/lang/String;)Lstreamer/ByteBuffer;,false,true,At Vnc33Authentication.java:[line 183],vncclient.vnc.Vnc33Authentication,true,183,183,139,139,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,,,,,,,,,,,,,CIPHER_INTEGRITY,1,5,CIPINT,SECURITY,823dafa1454ec84ee7b9ae4fdb380559,0,0,353,,,,,,,,,,,,,
DES/DESede is insecure,DES/DESede should be replaced with AES,In Vnc33Authentication.java,vncclient.vnc.Vnc33Authentication,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,In class vncclient.vnc.Vnc33Authentication,vncclient.vnc.Vnc33Authentication,true,vncclient.vnc.Vnc33Authentication,166,190,0,446,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,"In method vncclient.vnc.Vnc33Authentication.encodePassword(ByteBuffer, String)",vncclient.vnc.Vnc33Authentication,encodePassword,(Lstreamer/ByteBuffer;Ljava/lang/String;)Lstreamer/ByteBuffer;,false,true,At Vnc33Authentication.java:[line 183],vncclient.vnc.Vnc33Authentication,true,183,183,139,139,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,,,,,,,,,,,,,DES_USAGE,2,7,SECDU,SECURITY,12be357db19e689db7320b7c3fb9fab5,0,0,326,,,,,,,,,,,,,
ECB mode is insecure,"The cipher uses ECB mode, which provides poor confidentiality for encrypted data",In Vnc33Authentication.java,vncclient.vnc.Vnc33Authentication,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,In class vncclient.vnc.Vnc33Authentication,vncclient.vnc.Vnc33Authentication,true,vncclient.vnc.Vnc33Authentication,166,190,0,446,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,"In method vncclient.vnc.Vnc33Authentication.encodePassword(ByteBuffer, String)",vncclient.vnc.Vnc33Authentication,encodePassword,(Lstreamer/ByteBuffer;Ljava/lang/String;)Lstreamer/ByteBuffer;,false,true,At Vnc33Authentication.java:[line 183],vncclient.vnc.Vnc33Authentication,true,183,183,139,139,Vnc33Authentication.java,vncclient/vnc/Vnc33Authentication.java,java/vncclient/vnc/Vnc33Authentication.java,,,,,,,,,,,,,ECB_MODE,1,5,SECECB,SECURITY,67e5a8c5e120211d976bcdb52c5b26e0,0,0,327,,,,,,,,,,,,,
